,stockprice,goldprice,silverprice,oilprice,gasprice,newspolarity,polarity_cat
2019-04-01,3.17,15.098999977112,15.098999977112,69.01000213623,2.7079999446869,0.43417874396135264,positive
2019-04-02,3.14,15.0609998703,15.0609998703,69.370002746582,2.6840000152588,0.43417874396135264,positive
2019-04-03,3.13,15.102000236511,15.102000236511,69.30999755859399,2.6770000457764,0.47646198830409353,positive
2019-04-04,3.1,15.083999633789,15.083999633789,69.400001525879,2.6429998874664,0.13577441077441077,positive
2019-04-05,3.1,15.086000442505,15.086000442505,70.339996337891,2.6640000343323,0.0,neutral
2019-04-07,3.09,15.088000297546001,15.088000297546001,70.339996337891,2.6640000343323,0.0,neutral
2019-04-08,3.05,15.215999603271001,15.215999603271001,71.099998474121,2.7079999446869,0.0,neutral
2019-04-09,3.04,15.211000442505,15.211000442505,70.610000610352,2.6989998817444,0.0,neutral
2019-04-10,3.05,15.244000434875,15.244000434875,71.730003356934,2.7000000476837003,0.0,neutral
2019-04-11,3.06,14.866999626160002,14.866999626160002,70.830001831055,2.6640000343323,-0.14326923076923076,negative
2019-04-12,3.06,14.963000297546001,14.963000297546001,71.550003051758,2.6600000858307,0.0,neutral
2019-04-14,3.06,14.918000221252,14.918000221252,71.550003051758,2.6600000858307,0.0,neutral
2019-04-15,3.05,14.97500038147,14.97500038147,71.180000305176,2.5899999141693,0.5928326273487563,positive
2019-04-16,3.03,14.914999961853,14.914999961853,71.720001220703,2.5720000267029,0.0,neutral
2019-04-17,2.99,14.9390001297,14.9390001297,71.620002746582,2.5169999599457,0.13639455782312926,positive
2019-04-18,2.98,14.954999923706,14.954999923706,71.970001220703,2.4900000095367,0.22792207792207791,positive
2019-04-19,2.98,14.965000152588,14.965000152588,71.970001220703,2.4900000095367,0.22629383553274682,positive
2019-04-21,2.91,14.982000350952001,14.982000350952001,71.970001220703,2.4900000095367,0.22629383553274682,positive
2019-04-22,2.87,14.97500038147,14.97500038147,74.040000915527,2.5239999294281,0.0,neutral
2019-04-23,2.83,14.791000366211,14.791000366211,74.51000213623,2.454999923706,0.12505506189716717,positive
2019-04-24,2.87,14.916000366211,14.916000366211,74.569999694824,2.4619998931885,0.0,neutral
2019-04-25,2.87,14.878999710083,14.878999710083,74.349998474121,2.5139999389648,-0.010094850948509478,negative
2019-04-26,2.87,15.005000114441,15.005000114441,72.150001525879,2.5659999847412003,0.0,neutral
2019-04-28,2.88,15.012000083922999,15.012000083922999,72.150001525879,2.5659999847412003,0.0,neutral
2019-04-29,2.91,14.843999862671001,14.843999862671001,72.040000915527,2.5929999351502,0.18852469500196772,positive
2019-04-30,2.91,14.89999961853,14.89999961853,72.800003051758,2.5750000476837003,0.18852469500196772,positive
2019-05-01,2.91,14.645000457764,14.645000457764,72.180000305176,2.6199998855591,0.18852469500196772,positive
2019-05-02,2.91,14.607000350952001,14.604999542236,70.300003051758,2.5710000991821,0.18852469500196772,positive
